96line,Type,Ledger,Description
Days-SA-MCD,Financial,,  Medicaid/Medi-Cal
Days-SA-Pvt,Financial,,  Private
Days-SA-Mgd,Financial,,  Managed Care
Days-SA-Hosp,Financial,,  Hospice
Days-SA-Ins,Financial,,  Insurance
Days-SA-VA,Financial,,  Veterans Administration
Days-SA-Other,Financial,,  Other Payers
Days-SA-Total,,,  Total Skilled Nursing Patient Days
Days-AL-SSI,Financial,,  SSI
Days-AL-Pvt,Financial,,  Private
Days-AL-Total,,,  Total Assisted Living ADC
Days-Total,,,TOTAL PATIENT DAYS
ADC-SNF-MCA,ADC,,  Medicare/Like Medicare
ADC-SNF-MCD,ADC,,  Medicaid/Medi-Cal
ADC-SNF-Pvt,ADC,,  Private
ADC-SNF-Mgd,ADC,,  Managed Care
ADC-SNF-Hosp,ADC,,  Hospice
ADC-SNF-Ins,ADC,,  Insurance
ADC-SNF-VA,ADC,,  Veterans Administration
ADC-SNF-Other,ADC,,  Other Payers
ADC-SNF-Total,,,  Total Skilled Nursing Patient Days
ADC-SA-MCA,ADC,,  Medicare/Like Medicare
ADC-SA-MCD,ADC,,  Medicaid/Medi-Cal
ADC-SA-Pvt,ADC,,  Private
ADC-SA-Mgd,ADC,,  Managed Care
ADC-SA-Hosp,ADC,,  Hospice
ADC-SA-Ins,ADC,,  Insurance
ADC-SA-VA,ADC,,  Veterans Administration
ADC-SA-Other,ADC,,  Other Payers
ADC-SA-Total,,,  Total Skilled Nursing Patient Days
ADC-AL-SSI,ADC,,  SSI
ADC-AL-Pvt,ADC,,  Private
ADC-AL-Total,,,  Total Assisted Living ADC
ADC-Combined,,,COMBINED ADC
Occ-SNF,Occupancy Rate,,  Skilled Nursing
Occ-SA,Occupancy Rate,,  Subacute
Occ-AL,Occupancy Rate,,  Assisted Living
Occ-Total,,,  Total
Days,,,DAYS IN MONTH
Alloc-PRTaxes,,,Payroll Taxes
Alloc-Holiday,,,Paid Time Off (Holidays)
Alloc-PTO-VS,,,"Paid Time Off (Vacation, Sick)"
Hours-SA-Don,Hours,9661010,  SNF - Director of Nursing
Hours-SA-NWAD,Hours,9661110,  SNF - Nurses with Admin Duties
Hours-SA-RN,Hours,9661012,  SNF - RN's
Hours-SA-LPN,Hours,9661013,  SNF - LVN/LPN's
Hours-SA-CNA,Hours,9661014,  SNF - CNA's
Hours-SA-Other,Hours,9661018,  SNF - Other
Hours-SA-Total,,,  SNF - Subtotal
Hours-SA-Don,Hours,,  Subacute - Director of Nursing
Hours-SA-NWAD,Hours,,  Subacute - Nurses with Admin Duties
Hours-SA-RN,Hours,,  Subacute - RN's
Hours-SA-LPN,Hours,,  Subacute - LVN/LPN's
Hours-SA-CNA,Hours,,  Subacute - CNA's
Hours-SA-Other,Hours,,  Subacute - Other
Hours-SA-Total,,,  Subacute - Subtotal
Hours-AL-Caregiver,Hours,,  Assisted Living - Caregivers
Hours-Nursing,,,  Nursing - Total
Hours-Maint,Hours,,  Maintenance
Hours-Hskp,Hours,,  Housekeeping
Hours-Lndy,Hours,,  Laundry
Hours-Diet,Hours,,  Dietary
Hours-SS,Hours,,  Social Services
Hours-Act,Hours,,  Activities
Hours-Educ,Hours,,  Education
Hours-Adm,Hours,,  Admiinistration
Hours-B&B,Hours,,  Beauty & Barber
Hours-PT,Hours,,  Therapy - PT's
Hours-PTA,Hours,,  Therapy - PTA's
Hours-PTAides,Hours,,  Therapy - PT Aides
Hours-OT,Hours,,  Therapy - OT's
Hours-COTA,Hours,,  Therapy - COTA's
Hours-SLP,Hours,,  Therapy - SLP's
Hours-RT,Hours,,  Therapy - RT's
Hours-Total,,,  TOTAL
AvgHrs-SNF-DON,Hours PPD,,  SNF - Director of Nursing
AvgHrs-SNF-NWAD,Hours PPD,,  SNF - Nurses with Admin Duties
AvgHrs-SNF-RN,Hours PPD,,  SNF - RN's
AvgHrs-SNF-LPN,Hours PPD,,  SNF - LVN/LPN's
AvgHrs-SNF-CNA,Hours PPD,,  SNF - CNA's
AvgHrs-SNF-Other,Hours PPD,,  SNF - Other
AvgHrs-SNF-Total,,,  SNF - Subtotal
AvgHrs-SA-DON,Hours PPD,,  Subacute - Director of Nursing
AvgHrs-SA-NWAD,Hours PPD,,  Subacute - Nurses with Admin Duties
AvgHrs-SA-RN,Hours PPD,,  Subacute - RN's
AvgHrs-SA-LPN,Hours PPD,,  Subacute - LVN/LPN's
AvgHrs-SA-CNA,Hours PPD,,  Subacute - CNA's
AvgHrs-SA-Other,Hours PPD,,  Subacute - Other
AvgHrs-SA-Total,,,  Subacute - Subtotal
AvgHrs-AL-Caregivers,Hours PPD,,  Assisted Living - Caregivers
AvgHrs-Nursing,,,  Nursing - Total
AvgHrs-Maint,Hours PPD,,  Maintenance
AvgHrs-Hskp,Hours PPD,,  Housekeeping
AvgHrs-Lndy,Hours PPD,,  Laundry
AvgHrs-Diet,Hours PPD,,  Dietary
AvgHrs-SS,Hours PPD,,  Social Services
AvgHrs-Act,Hours PPD,,  Activities
AvgHrs-Educ,Hours PPD,,  Education
AvgHrs-Adm,Hours PPD,,  Admiinistration
AvgHrs-B&B,Hours PPD,,  Beauty & Barber
AvgHrs-PT,Hours PPD,,  Therapy - PT's
AvgHrs-PTA,Hours PPD,,  Therapy - PTA's
AvgHrs-PTAide,Hours PPD,,  Therapy - PT Aides
AvgHrs-OT,Hours PPD,,  Therapy - OT's
AvgHrs-COTA,Hours PPD,,  Therapy - COTA's
AvgHrs-SLP,Hours PPD,,  Therapy - SLP's
AvgHrs-RT,Hours PPD,,  Therapy - RT's
AvgHrs-Total,,,  TOTAL
AvgRate-DON,Hourly Rate,,  Nursing - Director of Nursing
AvgRate-NWAD,Hourly Rate,,  Nursing - Nurses with Admin Duties
AvgRate-RN,Hourly Rate,,  Nursing - RN's
AvgRate-LPN,Hourly Rate,,  Nursing - LVN/LPN's
AvgRate-CNA,Hourly Rate,,  Nursing - CNA's
AvgRate-Other,Hourly Rate,,  Nursing - Other
AvgRate-AL Caregivers,Hourly Rate,,  Nursing - AL Caregivers
AvgRate-Nursing,,,    Subtotal
AvgRate-Maintenance,Hourly Rate,,  Maintenance
AvgRate-Hskp,Hourly Rate,,  Housekeeping
AvgRate-Lndy,Hourly Rate,,  Laundry
AvgRate-Diet,Hourly Rate,,  Dietary
AvgRate-SS,Hourly Rate,,  Social Services
AvgRate-Act,Hourly Rate,,  Activities
AvgRate-Educ,Hourly Rate,,  Education
AvgRateAdm,Hourly Rate,,  Administration
AvgRate-B&B,Hourly Rate,,  Beauty & Barber
AvgRate-Total,,,  TOTAL
